epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5588,0.43802,1.47835,1.21843,0.99362,1,0.995,0.90918,0.42562,1.21207,0.90351,0.000659722,0.000659722,0.000659722
2,27.4427,0.21534,0.56217,1.04583,0.99014,1,0.995,0.95037,0.45049,0.89571,0.93697,0.00119508,0.00119508,0.00119508
3,39.8201,0.20348,0.36123,1.03885,0.99767,1,0.995,0.92299,0.41516,0.54148,0.85118,0.00159843,0.00159843,0.00159843
4,51.7116,0.18093,0.25556,1.01457,0.99737,1,0.995,0.92913,0.38875,0.4328,0.81335,0.001406,0.001406,0.001406
5,63.4929,0.17073,0.20177,1.01575,0.99779,1,0.995,0.96279,0.34862,0.38891,0.76401,0.001208,0.001208,0.001208
6,75.2955,0.15359,0.17197,0.98375,0.99774,1,0.995,0.93885,0.33948,0.40958,0.71832,0.00101,0.00101,0.00101
7,87.31,0.13663,0.14571,0.97347,0.99782,1,0.995,0.97072,0.29203,0.38385,0.6485,0.000812,0.000812,0.000812
8,99.1397,0.13212,0.13759,0.97937,0.99783,1,0.995,0.98874,0.21854,0.24427,0.54057,0.000614,0.000614,0.000614
9,111.011,0.12386,0.11896,0.97258,0.99787,1,0.995,0.995,0.27127,0.28453,0.60354,0.000416,0.000416,0.000416
10,123.106,0.11338,0.10576,0.96014,0.99785,1,0.995,0.995,0.2984,0.31984,0.6347,0.000218,0.000218,0.000218
