epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7597,2.54363,7.54736,2.39351,0.60952,0.10192,0.08723,0.04891,2.38141,4.16965,2.34428,0.0002352,0.0002352,0.0002352
2,47.1414,2.11378,3.38976,2.02798,0.58243,0.15934,0.12397,0.06416,2.267,3.42611,2.16796,0.000468515,0.000468515,0.000468515
3,70.0482,2.08713,2.95947,2.01803,0.5953,0.13809,0.11286,0.04142,2.18599,3.16311,2.41067,0.000697118,0.000697118,0.000697118
4,91.8485,2.07475,2.69451,2.03888,0.45454,0.33692,0.31006,0.12606,2.11127,2.80898,2.12991,0.000692794,0.000692794,0.000692794
5,114.957,1.98108,2.43857,1.95406,0.58322,0.29041,0.2938,0.14186,2.03031,2.44927,2.09752,0.000685726,0.000685726,0.000685726
6,137.856,1.93405,2.29207,1.90342,0.7804,0.16894,0.26192,0.11866,2.04802,2.36691,2.15087,0.000678657,0.000678657,0.000678657
7,159.699,1.8914,2.12628,1.87588,0.44868,0.33836,0.37075,0.15266,2.03459,2.2865,2.12412,0.000671588,0.000671588,0.000671588
8,182.362,1.88615,2.04024,1.89659,0.55746,0.37794,0.45552,0.21548,2.11356,2.14519,2.15857,0.00066452,0.00066452,0.00066452
9,205.229,1.81846,1.88336,1.80066,0.53187,0.51608,0.52686,0.22406,1.98772,2.06201,2.1053,0.000657451,0.000657451,0.000657451
10,227.381,1.76195,1.90056,1.75144,0.44214,0.45941,0.43859,0.19554,1.99165,2.11136,2.09034,0.000650383,0.000650383,0.000650383
11,249.808,1.76231,1.78312,1.77421,0.49373,0.55557,0.57774,0.29475,1.93599,1.87727,2.01177,0.000643314,0.000643314,0.000643314
12,272.869,1.73186,1.61664,1.73968,0.73016,0.50365,0.59874,0.28127,1.88882,1.86145,2.06293,0.000636245,0.000636245,0.000636245
13,294.667,1.69201,1.56083,1.71555,0.44043,0.72527,0.58926,0.25768,1.94335,1.91106,2.09946,0.000629177,0.000629177,0.000629177
